TABLE_NAME,ATTRIBUTE_NAME,IS_PK,IS_FK,REFERENCING_TABLE,REFERENCING_ATTRIBUTE
customer_buying_record,id,YES,NO,,
customer_buying_record,x1,NO,NO,,
customer_buying_record,y1,NO,NO,,
customer_buying_record,x2,NO,NO,,
customer_buying_record,y2,NO,NO,,
customer_buying_record,x3,NO,NO,,
customer_buying_record,y3,NO,NO,,
customer_buying_record,x4,NO,NO,,
customer_buying_record,y4,NO,NO,,
customer_buying_record,x5,NO,NO,,
customer_buying_record,y5,NO,NO,,
customer_buying_record,x6,NO,NO,,
customer_buying_record,y6,NO,NO,,
customer_buying_record,x7,NO,NO,,
customer_buying_record,y7,NO,NO,,
customer_buying_record,x8,NO,NO,,
customer_buying_record,y8,NO,NO,,
customer_buying_record,x9,NO,NO,,
customer_buying_record,y9,NO,NO,,
customer_buying_record,x10,NO,NO,,
customer_buying_record,y10,NO,NO,,
customer_buying_record,x11,NO,NO,,
customer_buying_record,y11,NO,NO,,
customer_buying_record,x12,NO,NO,,
customer_buying_record,y12,NO,NO,,
customer_buying_record,x13,NO,NO,,
customer_buying_record,y13,NO,NO,,
customer_buying_record,x14,NO,NO,,
customer_buying_record,y14,NO,NO,,
customer_buying_record,x15,NO,NO,,
customer_buying_record,y15,NO,NO,,
customer_buying_record,x16,NO,NO,,
customer_buying_record,y16,NO,NO,,
customer_buying_record,x17,NO,NO,,
customer_buying_record,y17,NO,NO,,
customer_buying_record,x18,NO,NO,,
customer_buying_record,y18,NO,NO,,
customer_buying_record,x19,NO,NO,,
customer_buying_record,y19,NO,NO,,
customer_buying_record,x20,NO,NO,,
customer_buying_record,y20,NO,NO,,
customer_buying_record,x21,NO,NO,,
customer_buying_record,y21,NO,NO,,
customer_buying_record,x22,NO,NO,,
customer_buying_record,y22,NO,NO,,
customer_buying_record,x23,NO,NO,,
customer_buying_record,y23,NO,NO,,
customer_buying_record,x24,NO,NO,,
customer_buying_record,y24,NO,NO,,
customer_buying_record,x25,NO,NO,,
customer_buying_record,y25,NO,NO,,
customer_buying_record,x26,NO,NO,,
customer_buying_record,y26,NO,NO,,
customer_buying_record,x27,NO,NO,,
customer_buying_record,y27,NO,NO,,
customer_buying_record,x28,NO,NO,,
customer_buying_record,y28,NO,NO,,
customer_buying_record,x29,NO,NO,,
customer_buying_record,y29,NO,NO,,
customer_buying_record,x30,NO,NO,,
customer_buying_record,y30,NO,NO,,
