TABLE_NAME,ATTRIBUTE_NAME,IS_PK,IS_FK,REFERENCING_TABLE,REFERENCING_ATTRIBUTE
variable_assignments,var1_name,N,N,,
variable_assignments,var1_val,Y,N,,
variable_assignments,var2_name,N,N,,
variable_assignments,var2_val,Y,N,,
variable_assignments,var3_name,N,N,,
variable_assignments,var3_val,Y,N,,
variable_assignments,var4_name,N,N,,
variable_assignments,var4_val,Y,N,,
variable_assignments,var5_name,N,N,,
variable_assignments,var5_val,Y,N,,
variable_assignments,var6_name,N,N,,
variable_assignments,var6_val,Y,N,,
variable_assignments,var7_name,N,N,,
variable_assignments,var7_val,Y,N,,
variable_assignments,var8_name,N,N,,
variable_assignments,var8_val,Y,N,,
variable_assignments,var9_name,N,N,,
variable_assignments,var9_val,Y,N,,
variable_assignments,var10_name,N,N,,
variable_assignments,var10_val,Y,N,,
